ID NUMBER,NAME OF CONTRIBUTOR,AMOUNT,CITY,STATE,ZIP,,,,,,
1374862,FORMOSA PLASTICS CORPORATION U.S.A.,"$400,000.00 ",LIVINGSTON,NJ,7039,40.78761,-74.33,,,,
,FORMOSA PLASTICS CORPORATION U.S.A.,"$14,000.00 ",LIVINGSTON,NJ,7039,40.78761,-74.33,,,,
1374862,FORMOSA PLASTICS CORPORATION U.S.A.,"$350,000.00 ",LIVINGSTON,NJ,7039,40.78761,-74.33,,,,
1374862,FORMOSA PLASTICS CORPORATION U.S.A.,"$356,441.50 ",LIVINGSTON,NJ,7039,40.78761,-74.33,,,,
1374862,FORMOSA PLASTICS CORPORATION U.S.A.,"$28,000.00 ",LIVINGSTON,NJ,7039,40.78761,-74.33,,,,
1333096,HILEX POLY CO. LLC,"$566,666.67 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$566,666.67 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$566,666.67 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$1,500.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
,HILEX POLY CO. LLC,"$90,000.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
,HILEX POLY CO. LLC,"$42,000.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$186,585.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$305,675.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$82,500.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$10,000.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$4,970.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$299,175.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$20,000.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1333096,HILEX POLY CO. LLC,"$41,334.00 ",HARTSVILLE,SC,29550,34.39459,-80.08175,,,,
1374857,HERITAGE PLASTICS INC.,"$50,000.00 ",PICAYUNE,MS,39466,30.528,-89.666,,,,
1374860,SUPERBAG CORP.,"$166,666.67 ",HOUSTON,TX,77041,29.87302,-95.56555,,,,
1374860,SUPERBAG CORP.,"$166,666.66 ",HOUSTON,TX,77041,29.87302,-95.56555,,,,
1374860,SUPERBAG CORP.,"$166,666.67 ",HOUSTON,TX,77041,29.87302,-95.56555,,,,
,SUPERBAG CORP.,"$12,000.00 ",HOUSTON,TX,77041,29.87302,-95.56555,,,,
1374860,SUPERBAG CORP.,"$133,719.25 ",HOUSTON,TX,77041,29.87302,-95.56555,,,,
1374860,SUPERBAG CORP.,"$100,000.00 ",HOUSTON,TX,77041,29.87302,-95.56555,,,,
